z153yi8,u5erb551yo,vbi5ustafos,v1sves1l,nj8d1js6mly,zw9u23wfoat,bslnykoygnx,ixet0uzuuoh,bcqe6tdkash,gnyebdyjsq,laedo3e,u3onbs8utn,910alza9eq,qvwwq8qe00,ykri3z1g,gds8lo,zy5q4ch85,snbu4rj,y02zr8iy,oep16bl,hvh8c4,fqs6141,vrhnlr48,v0zfxgo3xh8,47scottr,98nwv2,m8b70rwh
mc_ID_1443,"Single Female with four children, education: bachelors degree working as management",50K+,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Good",,13.0823,,yes,"['Florist', 'Ready Food', 'Video Store', 'Bar For Salad', 'Coffee Bar']",,Gourmet,9.48 M,3.792 M,1424.85,2198.0,465.54,310.3,measure: 351.7175,Betim,mg,-20.02886799961171,-44.23063506625479,c@pivari,SP,-23.0122137105142,-47.52203973160603,4.0
mc_ID_1445,"sINGLE mALE WITH ONE KID, EDUCATION: PARTIAL HIGH SCHOOL WORKING AS MANUAL",10K+,"Pain Relievers from Health and Hygiene department, Ordered Brand : Faux Products",18.1699,15262.70 grams,2.907199999999998,no,[],Two for One,Supermarket,"7.96 ,000,000",2.786 M,2049.72,2810.66,457.36,304.91,451.9766,sa0 paulo,SP,-23.530828892867447,-46.527533900773285,itaquaquecetuba,SP,-23.43567309991361,-46.38032799842931,2.0
mc_ID_1446,"Marrie Male with No children,education: graduate degree working as professional",70000,"Paper Products from Household department, Ordered Brand : Cormorant",26.31,23.4028,2.9072,no,['Coffee Bar'],Budget Bargains,Small Grocery,3.4 M,1.122 M,2069.04,2620.42,330.83,221.01,578.0196,5ao paulo,SP,val: -23.593509,-46.69160489873891,H0RTOLANDIA,5P,-22.887514996879027,-47.19573904628551,5.0
mc_ID_1448,"Married Female with two children, education: partial high school working as manual",10K+ annually,"Vegetables from Produce department, Ordered Brand : Ebony",val: 16.7163,-0.1,2.9072,yes,"['Bar For Salad', 'Coffee Bar', 'Ready Food', 'Video Store', 'Florist']",Dimes Off,Deluxe,$13.04 M,4.3032 M,2038.11,,481.98,319.73,550.6144,_sao paulo,SP,-23.644289462115523,measure: -46.701457465029705,sao paulo,$p,-23.485253731057767,-46.73312974854289,5.0
mc_ID_1449,"Married Male with two children, education: partial High School working as manual",10K+,"Hardware from Checkout department, Ordered Brand : Framton",28.7811,25.7286,3052.50 grams,yes,"['Ready Food', 'Coffee Bar', 'Video Store', 'Florist', 'Bar For Salad']",Super Savers,Deluxe,12.84 M,6.0348 M,1525.28,,375.1,248.79,755.9442,ouRIlANdia Do NoRTE,PA,-6.751356880784805,-51.06960485375688,barueri,SP,-23.491791912543025,-46.94733309700014,4.0
mc_ID_1451,"Married_Male_with_four_kids,_education:_HS_degree_working_as_skilled_manual",30K+,"Snack Foods from Snack Foods department, Ordered Brand : Fort West",-17.007,12.6317,4.375300000000001,yes,['Coffee Bar'],Price Slashers,supermarket,"7.2 ,000,000",3.384 M,1236.07,1970.94,,293.95,402.6054,cascaval, PR ,-24.96075456010148,-53.51081196779967,JaCarEL,sp,-23.29818595956356,-45.974828011182304,5.0
mc_ID_1452,"Married Male with two children, education: partial high school working as manual",10K+,"Fruit from Produce department, Ordered Brand : Hermanos",amount: 23.9843,21.0771,2.9072,no,[],Saving Days,Supermarket,"8.88 ,000,000",3.996 M,1508.0,1887.7,227.8,151.9,619.0228,FOZ DO IGUACU,PR,-25.535477093892865,-54.53235921020954,ilicinea,MG ,-20.944705621834668,-45.82709818233235,4.0
mc_ID_1453,"Married Male with three childern, education: partial High School working as manual",30K+,"Bread from Baked Goods department, Ordered Brand : Modell",22.5307,19623.50 grams,-999.0,yes,['Coffee Bar'],Weekend Discount, Superm4Rket,11.79 M,3.7728 M,1236.07,1969.86,442.92,292.76,364.1649,Belo Horizonte,MG ,-19.941422270327216,-43.932338543308816,mateus leme,MG,-19.984572714049783,measure: -44.4048179930132,5.0
mc_ID_1454,"Married Female with four children, education: high school degree working as manual",30K+,"Hardware from Checkout department, Ordered Brand : Framton",28.7811,amount: 25.7286,3.0524999999999984,yes,"['Bar For Salad', 'Ready Food']",Go For It,_Superm@rket,12.84 M,4.6224 M,2263.54,3684.5,853.22,568.75,data: 553.0202,sao paulo,SP,-23.537309857060443,-46.6787664476888,sao paulo,5p,-23.53321650340715,-46.50046729003948,5.0
mc_ID_1455,"Single Female with two children, education: bachelors degree working as professional",50K+,"Meat from Deli department, Ordered Brand : American",10.6403,7.7331,2.9072,yes,[],Sales Days,Superm@rket,1.77 M,0.5841 M,1623.48,2191.27,341.05,226.04,743.1307,Itaoca,Es,-20.723370016635258,-41.13636480419918,sao paulo,SP,-23.49517247515727,-46.50119464071786,5.0
mc_ID_1456,"Married Female with one child, education: high school degree working as professional",70K+,"Bread from Baked Goods department, Ordered Brand : Colony",-18.4606,16.8617,amount: 1.5989000000000004,yes,"['Coffee Bar', 'Florist', 'Bar For Salad', 'Ready Food']",Super Duper Savers,Deluxe,4.96 M,1.8848 M,2055.29,3145.51,654.13,436.09,$475.93,franco da rocha,SP,-23.326937394388622,-46.71473765290403,taboao da serra,SP,val: -23.61030541993188,-46.78378189508913,1.0
mc_ID_1459,"Single Female with one child, education: partial High School working as manual",10K+,"Meat from Deli department, Ordered Brand : Moms",-21.3678,18.3153,3.0524999999999984,yes,"['Coffee Bar', 'Ready Food', 'Bar For Salad', 'Video Store', 'Florist']",Price Cutters,gourmet,"1.08 ,000,000",0.4104 M,1424.85,2196.91,465.54,311.5,675.716,SAO GONCALU,RJ,-22.81834637467488,-43.0134585090129,rio  de  janeiro,RJ,-22.842290284753936,val: -43.29762071175495,5.0
mc_ID_1460,Married Male with one child; education: graduate degree working as professional,110K+,"Fruit from Produce department, Ordered Brand : Ebony",-0.1,amount: 17.8792,,no,"['Bar For Salad', 'Video Store', 'Florist', 'Coffee Bar', 'Ready Food']",,Deluxe,$13.96 M,5.1652 M,1871.16,,593.93,395.95,295.4427,VALINHOS,SP,-22.9865591766809,-46.98871848455929,piracicaba,Sp,measure: -22.71683928585045,-47.65736585405934,5.0
mc_ID_1461,"Single Female with four children, education: partial high school working as manual",10k,"Snack Foods from Snack Foods department, Ordered Brand : Fast",21.8039,17.4431,4.360799999999998,no,[],GLD,Supermarket,3.6 M,1.656 M,2049.72,2811.99,459.36,304.91,697.7866,caucaia,ca,-3.757594499999996,-38.61652499999998,sao paulo,SP,-23.65111484251016,-46.75521082321932,5.0
mc_ID_1462,"Single Male with two kidren, education: partial HS working as skilled manual",10K+,"Snack Foods from Snack Foods department, Ordered Brand : Best Choice",,24.1296,,yes,[],,supErMArKE7,7.38 M,2.5092 M,1510.32,1887.7,227.8,153.22,351.456,joacaba,Sc,measure: -27.16882094342798,-51.51882419291629,guara,5P,-20.43399042630061,-47.81416224047547,1.0
mc_ID_1463,"Single Male with three children, education: high school degree working as manual",$30K+,"Baking Goods from Baking Goods department, Ordered Brand : Plato",16.571,13.65 kg,2921.80 grams,no,"['Coffee Bar', 'Florist', 'Ready Food', 'Bar For Salad']",GLD,Gourmet,$5.16 M,2.4768 M,,2207.28,385.45,258.76,396.2248,osasco,sp,-23.56521911076391,-46.80795515004952,TRES RIUS,RJ,-22.114931849301893,measure: -43.20418377871129,5.0
mc_ID_1464,"Single Male with four kidren, education: HS degree working as skilled manual",30K+,"Vegetables from Produce department, Ordered Brand : Tri-State",20.3503,val: 15.9895,4.360800000000001,yes,"['Coffee Bar', 'Video Store', 'Bar For Salad', 'Ready Food', 'Florist']",One Day Sale,Deluxe,7.75 M,3.255 M,1873.49,2865.12,593.93,397.66,360.3993,sao paul0,Sp,-23.45823633342542,-46.667826065938485,suzano, SP,-23.54646763188849,-46.31743880609893,5.0
mc_ID_1465,"Married Female with two children, education: partial high school working as manual",10K+,"Meat from Deli department, Ordered Brand : American",val: 10.6403,-1.0,measure: 2.9072,yes,"['Bar For Salad', 'Ready Food']",Savings Galore,SUPERMARKET,1.77 M,0.5841 M,2449.54,3230.9,470.27,311.57,550.1437,aparecida,SP,-22.851929577501,-45.23031074613782,goiania,go_,-16.69955774566663,-49.31646534449651,4.0
mc_ID_1466,"Single Female with three children, education: graduate degree working as professional",840+ monthly,"Pizza from Frozen Foods department, Ordered Brand : Golden",-24.8564,23.40 kg,1.4536000000000016,yes,"['Florist', 'Ready Food', 'Coffee Bar', 'Video Store', 'Bar For Salad']",Save Price,Deluxe,2.49 M,1.0956 M,2035.52,2841.35,483.98,321.7,284.3028,tAQUaRA,RS,-29.64387851457095,-50.7801597485429, sao paulo ,SP,-23.571257720785987,-46.69633123175024,1.0
mc_ID_1467,"Married Female with two children, education: high school degree working as manual",30K+,"Fruit from Produce department, Ordered Brand : Ebony",14.4778,11.5706,2.9072,no,[],Big Time Discounts,sUPerMarkET,11.84 M,3.9072 M,1508.0,1887.7,227.8,,measure: 574.9339,	SALV4DOR,B@,-12.99585654646547,-38.47853583321261,sao paulo,sP,-23.646246311207523,-46.66349868836885,5.0
mc_ID_1468,"Single Female with five children, education: high school degree working as manual",30K+,"Canned Oysters from Canned Foods department, Ordered Brand : Blue Label",,23.5482,,no,['Coffee Bar'],Price Winners,small grocery,4.42 M,2.0774 M,1394.66,2285.14,534.29,356.19,566.2521,guarulhos,sp,-23.41183006532724,-46.500920821017104,barueri,$P,data: -23.491791912543025,-46.94733309700014,5.0
mc_ID_1471,"Single Male with two children, education: high school degree working as skilled manual",50K or more,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel",,12.5009,,no,"['Bar For Salad', 'Ready Food']",,Supermarket,11.64 M,4.656 M,,3691.03,855.22,568.75,553.0202,tangua,Rj,measure: -22.734822381594384,-42.720089904888106,sorocaba,Sp,data: -23.494190060505503,measure: -47.40954169025909,1.0
mc_ID_1472,"education: graduate degree working as professional, Single Male with two children",70K or more,"Canned Tuna from Canned Foods department, Ordered Brand : Bravo",-0.1,data: 11.2072,,yes,"['Florist', 'Bar For Salad', 'Video Store', 'Coffee Bar', 'Ready Food']",Price Destroyers,Delux3,8.34 M,3.5028 M,2038.11,2838.57,481.98,321.26,777.2826,bertioga,SP ,measure: -23.82834010075353,-46.1430173832652,gUarUlhOs,SP,val: -23.46530411469876,-46.51148732089968,5.0
mc_ID_1473,"Marrie Male with four children, education: partial high school working as professional",Income: 130K+,"Candy from Snacks department, Ordered Brand : Choice",31.8337,,,no,"['Florist', 'Video Store', 'Ready Food', 'Bar For Salad', 'Coffee Bar']",Bag Stuffer, Deluxe,€3.1M,1.5824 M,1734.5,2574.11,503.07,335.38,432.1026,nova iguacu,RJ,-22.745537529058307,measure: -43.47134153314749,araguari,MG,-18.65223568071188,-48.19343213192182,5.0
mc_ID_1474,"Married Female with four children, education: partial high school working as skilled manual",Income: 10K+,"Carbonated Beverages from Beverages department, Ordered Brand : Excellent",data: 22.5307,21.0771,1.453599999999998,no,"['Bar For Salad', 'Ready Food']",Super Savers,Supermarket,3.84 M,1.8048 M,2448.37,3230.09,470.27,313.55,719.3865,aguas lindas da goias,GO,-15.801842436999948,-48.299912974999984,Rio De Janeiro,RJ,-22.86943483957529,-43.55443024078128,data: 1.0
mc_ID_1475,"Married  Female  with  five  childern,  education:  high  school  degree  working  as  professional",130K+,"Jams and Jellies from Baking Goods department, Ordered Brand : Landslide",,7.1807,,yes,[],,SUpeRMaRKEt,5.68 M,2.3856 M,2049.72,2811.99,457.36,306.37,418.1385,cariacica,ES,-20.3241488189149,-40.37596652382395,monte siao,MG,-22.42880507067007,-46.569550269431765,4.0
mc_ID_1477,"Single Female with two children, education: high school degree working as manual",30K+,"Paper Products from Household department, Ordered Brand : Sunset",-0.1,10.4513,4.375299999999999,no,"['Coffee Bar', 'Ready Food', 'Florist', 'Video Store', 'Bar For Salad']",Super Savers, Deluxe ,2.86 M,0.9152 M,1528.26,2144.04,373.1,248.79,755.9442,Sao Paulo,SP,-23.55888611989353,-46.58187431508816,tanabi,5P,-20.619786901756022,-49.64820320291271,1.0
mc_ID_1478,"Single Female with one child, education: high school degree working as skilled manual",30 Thousand,"Snack Foods from Snack Foods department, Ordered Brand : Horatio",26.8915,-0.1,-0.1,yes,"['Ready Food', 'Bar For Salad']",Super Savers,Supermarket ,€6.5M,3.2852 M,2448.37,3230.56,470.27,313.55,val: 754.7413,curitiba,PR,-25.453155877315545,-49.2850395992267,Sao Paulo,SP,-23.62358155176294,-46.61056007369148,5.0
mc_ID_1479,"Single Male with three children, education: bachelor'ss degree working as professional",€110K+,"Frozen Entrees from Frozen Foods department, Ordered Brand : Carrington",30.8162,29.3626,1.453599999999998,yes,"['Video Store', 'Coffee Bar', 'Florist', 'Bar For Salad', 'Ready Food']",One Day Sale,_Deluxe,3.54 M,1.6284 M,1871.16,2858.12,593.93,397.3,360.3993,Niteroi,RJ,-22.91127038161472,-43.10515133611283,"sao paulo
","SP
",-23.485253731057767,amount: -46.73312974854289,1.0
mc_ID_1482,"Married Female with one child, education: partial college working as management",50K+ annually,"Fruit from Produce department, Ordered Brand : Hermanos",9.8699,,,no,"['Bar For Salad', 'Ready Food']",Price Destroyers,,11.82 M,4.9644 M,2265.9,3682.95,853.22,569.11,601.7115,serra,ES,-20.125077554846843,val: -40.18867515952251,sao jose do rio preto,SP,val: -20.80243626346376,measure: -49.39562406741489,5.0
mc_ID_1483,"Married Male with No children, education: partial high school working as skilled manual",10k,"Bread from Baked Goods department, Ordered Brand : Modell",22.24,,amount: nan,no,['Coffee Bar'],Full Free,,1.65 M,0.5115 M,2070.79,2620.42,330.83,220.55,637.014,Bauru,sp,amount: -22.33137826421038,data: -49.096775499711526,joinville,5C,val: -26.28314924562872,-48.85128463059032,5.0
mc_ID_1484,"Single Male with five children, education: partial high school working as skilled manual",€8K+,"Bread from Baked Goods department, Ordered Brand : Fantastic",15.4081,12.5009,data: 2.9072,no,"['Florist', 'Video Store', 'Bar For Salad', 'Ready Food', 'Coffee Bar']",Two Day Sale,DELUXE,6.2 M,2.604 M,2038.83,,481.98,321.26,495.7517,belo horizonte,MG,-19.92416706994057,measure: -43.91647950666509,poRTo ALEGRe,RS,-30.07200823826747,-51.17719962332037,3.0
mc_ID_1485,"Single Male with three children, education: bachelors degree working as professional",130K+ annually,"Frozen Entrees from Frozen Foods department, Ordered Brand : Carrington",-30.8162,29.3626,1.453599999999998,yes,"['Florist', 'Ready Food', 'Video Store', 'Coffee Bar', 'Bar For Salad']",Best Savings, Deluxe ,5.31 M,1.8054 M,1871.16,2860.68,593.93,,data: 278.7067,CONSELHeiRo lafAIeTE,MG,-20.653541574550808,measure: -43.79083732604181,londrina,PR,-23.331043778111702,-51.17743350000001,4.0
mc_ID_1486,"MaRrIeD FeMaLe wItH No kIdReN, eDuCaTiOn: Hs dEgReE WoRkInG As mAnUaL",30K+,"Snack Foods from Snack Foods department, Ordered Brand : Fast",data: 25.7286,22.8214,6.41 lbs,no,[],Super Savers,Supermarket,4.38 M,1.5768 M,2049.72,2815.99,457.36,304.91,339.8977,braganca peulista,sp,measure: -22.94671938995326,-46.53961817124474,presidente prudente,sp,-22.07708974256958,-51.41548624933166,4.0
mc_ID_1487,"Single Female with one child, education: high school degree working as skilled manual",30K+,"Fruit from Produce department, Ordered Brand : Hermanos",-0.1,20.3503,amount: nan,yes,[],,SUPERMARKET,5.12 M,2.3552 M,1624.91,2194.44,341.05,229.32,586.7537,sao paulu,SP,-23.532860441023693,val: -46.66790717845809,ibitinga,SP,-21.7664768468313,-48.83154737836604,5.0
mc_ID_1490,"Single Female with three children, education: graduate degree working as professional",130K+,"Starchy Foods from Starchy Foods department, Ordered Brand : Colossal",21.3678,19.7689,1.5989000000000004,yes,"['Video Store', 'Ready Food', 'Florist', 'Bar For Salad', 'Coffee Bar']",Big Time Discounts,Deluxa,5.61 M,1.7391 M,1734.5,2572.86,505.07,335.38,583.1973,rio de jeneiro,rj,amount: -22.89681893672453,-43.28130819579902,,,,,1.0
mc_ID_1491,"sINGLE fEMALE WITH TWO KIDS, EDUCATION: BACHELORS DEGREE WORKING AS PROFESSIONAL",50K+,"Snack Foods from Snack Foods department, Ordered Brand : Best Choice",,11.6287,,no,"['Florist', 'Ready Food', 'Coffee Bar', 'Bar For Salad']",Three for One,Data Missing,10.6 M,3.286 M,,3146.33,654.13,436.09,640.5181,santo andre,Sp,-23.666655446303828,val: -46.53485782638931,PIRACICABA,Sp,-22.71683928585045,-47.65736585405934,3.0
mc_ID_1492,"Married Female with No children, education: partial college working as clerical",30K+,"Dairy from Dairy department, Ordered Brand : Booker",21.9493,19.0421,2.9072,yes,[],Two Day Sale,supermarket,13.84 M,6.228 M,1623.23,2191.86,341.05,,383.2021,VOTORANTIM,SP,-23.5270462641308,-47.43206506260343,sao pau1o ,Sp,-23.69289565500035,-46.68021046531817,5.0
mc_ID_1493,"married male with two children, education: bachelors degree working as professional",150K+,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel",23.6936,19.1874,4.5062,no,"['Ready Food', 'Bar For Salad']",Super Savers,Supermarket,"5.13 ,000,000",2.3598 M,2448.37,,470.27,313.55,754.7413,sao paulo,$P,-23.539494799586286,-46.63284391414975,BoRDA da Ma7A,MG,-22.264093569966427,-46.15856420525942,4.0
mc_ID_1494,"Single Male with five children, education: high school degree working as manual",30K+,"Snack Foods from Snack Foods department, Ordered Brand : Horatio",11.0037,9.5501,amount: 1.4535999999999998,yes,"['Ready Food', 'Coffee Bar', 'Bar For Salad', 'Florist']",Full Free,Deluxe ,$5.19 M,1.6608 M,2055.29,3145.51,654.13,436.31,570.3838,posse,GO,-14.078271318010032,-46.35957202767279,sao jose do rio preto,$P,-20.80243626346376,-49.39562406741489,5.0
mc_ID_1495,"Married Male with two children, education: bachelors degree working as professional",150K+,"Jams and Jellies from Baking Goods department, Ordered Brand : Super",,8.3,,no,"['Ready Food', 'Bar For Salad']",,Supermarket ,13.56 M,6.6444 M,2448.37,3232.19,470.27,312.59,347.1151,capanema,PA,-1.188790534693018,-47.16896460357975,contagem,Mg_,-19.85284231244068,-43.98751965994399,amount: nan
mc_ID_1496,"Single Male with No children, education: bachelors degree working as professional",70K+,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Good",13.5911,9.2303,4.360800000000001,no,[],GLD,supermarket,8.72 M,3.8368 M,2052.06,2811.99,,304.91,697.7866,sao paulo, SP,data: -23.590006910352585,amount: -46.73789099999999, ATIBAIA,5P,val: -23.112774381969185,-46.5488845105504,5.0
mc_ID_1498,"Single Female w/ No children, education: bachelors degree working as management",150k,"Frozen Desserts from Frozen Foods department, Ordered Brand : Big Time",28.9265,-24.4204,4.5061,yes,"['Ready Food', 'Bar For Salad']",Green Light Special,Supermarket,11.08 M,4.6536 M,2268.08,3687.88,853.22,568.75,643.3946,sao 	jose 	dos 	pinhais,PR,-25.50752580959667,-49.16454300054825,ibitinga,SP,-21.7664768468313,-48.83154737836604,1.0
mc_ID_1500,"maried male with four children, education: partial college working as professional",30K+,"Vegetables from Frozen Foods department, Ordered Brand : PigTail",10.9601,9.492,1.4680999999999995,yes,[],GLD,supermarket,19.75 M,6.32 M,,1887.37,227.8,150.13,727.9637, rio de jameiro ,RJ,-22.89582097391652,data: -43.322793102285125,campinas,SP_,-22.92991227115403,-47.07189552530681,amount: 4.0
